run,pop,Herbicide,Dose,rep,ve,surv,bio,ve_red,bio_red,selected
1,A6,Glyphosate,3x,3,8,1,2.4259,0.2,1.00E-10,
1,A6,Glyphosate,3x,4,1,0,0,0.9,1,
1,A6,Glyphosate,3x,5,9,1,2.3712,0.1,0.019009991,
1,A6,Glyphosate,3x,6,9,1,3.0745,0.1,1.00E-10,
1,A6,Glyphosate,3x,7,9,1,2.8755,0.1,1.00E-10,
1,A6,Glyphosate,3x,8,9,1,3.3029,0.1,1.00E-10,
1,A7,Glyphosate,1x,1,9,1,2.3897,0.1,0.226108358,
1,A7,Glyphosate,1x,2,9,1,3.0895,0.1,1.00E-10,
1,A7,Glyphosate,1x,3,9,1,2.1382,0.1,0.307555297,
1,A7,Glyphosate,1x,4,9,1,4.9243,0.1,1.00E-10,
1,A7,Glyphosate,1x,5,9,1,2.3126,0.1,0.251076784,
1,A7,Glyphosate,1x,6,9,1,2.7146,0.1,0.120891221,
1,A7,Glyphosate,1x,7,4,0,0.18,0.6,0.941707957,
1,A7,Glyphosate,1x,8,9,1,2.6305,0.1,0.148126559,
1,A7,Glyphosate,3x,1,6,1,0.3192,0.4,0.896628777,
1,A7,Glyphosate,3x,2,7,1,0.383,0.3,0.875967486,
1,A7,Glyphosate,3x,3,7,1,0.6726,0.3,0.782182066,
1,A7,Glyphosate,3x,4,7,1,0.8748,0.3,0.71670067,
1,A7,Glyphosate,3x,5,8,1,0.9081,0.2,0.705916642,
1,A7,Glyphosate,3x,6,7,1,0.4547,0.3,0.852747822,
1,A7,Glyphosate,3x,7,8,1,1.7176,0.2,0.443764371,
1,A7,Glyphosate,3x,8,7,1,1.1732,0.3,0.620065417,
1,A8,Glyphosate,1x,1,1,0,0,0.9,1,x
1,A8,Glyphosate,1x,2,8,1,2.3008,0.2,0.264514789,x
1,A8,Glyphosate,1x,3,1,0,0,0.9,1,x
1,A8,Glyphosate,1x,4,9,1,4.3308,0.1,1.00E-10,x
1,A8,Glyphosate,1x,5,9,1,5.1141,0.1,1.00E-10,x
1,A8,Glyphosate,1x,6,9,1,4.7148,0.1,1.00E-10,x
1,A8,Glyphosate,1x,7,8,1,2.3882,0.2,0.236576068,x
1,A8,Glyphosate,1x,8,1,0,0,0.9,1,x
1,A8,Glyphosate,3x,1,7,1,2.8268,0.3,0.096371003,x
1,A8,Glyphosate,3x,2,9,1,3.277,0.1,1.00E-10,x
1,A8,Glyphosate,3x,3,7,1,0.7268,0.3,0.767667485,x
1,A8,Glyphosate,3x,4,1,0,0,0.9,1,x
1,A8,Glyphosate,3x,5,2,0,0.18,0.8,0.942460302,x
1,A8,Glyphosate,3x,6,1,0,0,0.9,1,x
1,A8,Glyphosate,3x,7,7,1,0.8075,0.3,0.74187052,x
1,A8,Glyphosate,3x,8,3,0,0.1123,0.7,0.964101622,x
1,A9,Glyphosate,1x,1,9,1,2.6656,0.1,0.018990137,x
1,A9,Glyphosate,1x,2,8,1,1.1242,0.2,0.586265273,x
1,A9,Glyphosate,1x,3,9,1,2.3106,0.1,0.149639335,x
1,A9,Glyphosate,1x,4,2,0,0.1674,0.8,0.938392463,x
1,A9,Glyphosate,1x,5,9,1,3.7325,0.1,1.00E-10,x
1,A9,Glyphosate,1x,6,8,1,1.0806,0.2,0.602311203,x
1,A9,Glyphosate,1x,7,9,1,2.7071,0.1,0.003717062,x
1,A9,Glyphosate,1x,8,9,1,2.8518,0.1,1.00E-10,x
1,A9,Glyphosate,3x,1,8,1,2.2475,0.2,0.17286177,x
1,A9,Glyphosate,3x,2,7,1,0.2719,0.3,0.899933755,x
1,A9,Glyphosate,3x,3,4,0,0.3228,0.6,0.881201237,x
1,A9,Glyphosate,3x,4,9,1,2.8947,0.1,1.00E-10,x
1,A9,Glyphosate,3x,5,1,0,0,0.9,1,x
1,A9,Glyphosate,3x,6,3,0,0.093,0.7,0.965773591,x
1,A9,Glyphosate,3x,7,3,0,0.1345,0.7,0.950500515,x
1,A9,Glyphosate,3x,8,8,1,1.0055,0.2,0.629949949,x
1,A10,Glyphosate,1x,1,2,0,0.1397,0.8,0.958236798,
1,A10,Glyphosate,1x,2,9,1,2.329,0.1,0.303747328,
1,A10,Glyphosate,1x,3,9,1,2.7538,0.1,0.176753711,
1,A10,Glyphosate,1x,4,5,1,0.2539,0.5,0.9240968,
1,A10,Glyphosate,1x,5,9,1,3.1675,0.1,0.053078429,
1,A10,Glyphosate,1x,6,1,0,0,0.9,1,
1,A10,Glyphosate,1x,7,9,1,1.99,0.1,0.405091105,
1,A10,Glyphosate,1x,8,9,1,2.8642,0.1,0.14374972,
1,A10,Glyphosate,3x,1,2,0,0.0856,0.8,0.974409949,
1,A10,Glyphosate,3x,2,1,0,0,0.9,1,
1,A10,Glyphosate,3x,3,7,1,0.7518,0.3,0.775249996,
1,A10,Glyphosate,3x,4,1,0,0,0.9,1,
1,A10,Glyphosate,3x,5,7,1,1.3822,0.3,0.586792425,
1,A10,Glyphosate,3x,6,5,1,0.3894,0.5,0.883589184,
1,A10,Glyphosate,3x,7,5,1,0.2715,0.5,0.918835294,
